id,CITED2,HMGA2,CCNG1,label
274,1649.086086,29.44261178,1377.181354,1
275,1305.010099,1806.207622,1757.631813,1
276,2374.04602,1512.385684,4049.871015,1
277,3361.718222,23.41695224,17604.59683,1
278,1995.246283,695.8278567,10007.48096,1
279,2007.030171,7624.488158,6783.619808,1
280,2392.673434,959.6351734,5675.783925,1
281,1976.982253,997.7498552,5935.106776,1
282,1454.739412,1326.229132,1959.823295,1
283,1615.057569,316.439591,4787.352903,1
284,1047.973325,285.6174227,7444.265244,1
285,859.5147187,1425.006858,6711.894289,1
286,2531.449787,413.1208593,4408.899305,1
287,4250.816877,26773.36831,4873.895761,1
288,6532.061337,4890.852946,5334.569903,1
289,4667.429983,70.51745024,5182.272821,1
290,1518.703164,1491.00867,3409.434057,1
291,3692.097902,99.6186839,4298.419067,1
292,4708.478501,387.873523,4826.164155,1
293,2068.01164,351.3585605,2640.205774,1
294,3489.374965,105.3586064,5139.114471,1
295,1968.931405,8276.7377,5340.379466,1
296,1220.435115,2015.337081,3295.0777,1
297,2304.84532,687.695725,5125.961234,1
298,2815.855602,5458.817336,3340.564268,1
299,1402.574283,470.1924406,3649.212399,1
300,2848.998607,323.7962084,3891.559757,1
301,2129.284523,1045.450255,5352.463236,1
302,3490.389389,1894.286852,4118.879375,1
303,2028.3339,75.35751324,7809.190017,1
304,3526.94233,5288.713537,10300.66509,1
305,1943.747333,508.4648126,9167.38373,1
306,1215.561194,290.2982484,2876.149536,1
307,4116.366569,5541.66499,3373.019233,1
308,2841.757668,106.2027692,6355.943759,1
309,2852.818933,212.4512224,8674.753122,1
310,3130.617983,1076.425455,2969.750237,1
311,2810.810673,23.55673791,11120.16338,1
312,3089.348762,500.1619471,5835.851394,1
313,2846.278825,847.6185938,11576.0445,1
314,709.601015,5734.97739,3755.910505,1
315,1919.68226,2648.509092,5834.848638,1
316,3516.015712,325.4210446,4907.75064,1
317,2175.455472,539.7430538,4184.990158,1
318,3579.455257,527.1361622,5884.025702,1
319,1924.239619,3021.341363,21928.88866,1
320,2234.501097,593.2931799,7300.629726,1
321,926.0735424,657.3464083,2100.582587,1
322,1720.688515,584.4666417,4125.55725,1
323,1617.389316,1985.622731,3292.356242,1
324,2626.889605,589.2396258,7362.638972,1
325,3651.242804,95.67151356,5970.088286,1
326,4181.279446,291.1081151,3670.423536,1
327,840.5561917,1159.447822,10600.0813,1
328,2806.938289,188.0981263,4772.631326,1
329,1639.859808,10.96332904,6065.937805,1
330,1489.265657,789.366956,3965.572797,1
331,5519.026214,571.2535195,9321.513414,1
332,1418.07456,10.77194137,4956.204451,1
333,2819.910877,211.2383694,4425.512641,1
334,1749.354569,310.4787023,7726.429951,1
335,2179.510156,157.0335994,4680.789063,1
336,1947.357063,180.0550947,4861.61787,1
337,2809.287233,464.5625939,3130.092868,1
338,2823.349294,485.6986122,17242.20001,1
339,3941.006118,236.472004,4866.284175,1
340,1716.715496,832.0160659,4742.982208,1
341,477.4144483,1244.19002,11591.59885,1
